PO_ID,Item_num,Item_desc,Txns,Sls_U,Sls_$
640481537,10556054,20 MOVIE ACTION COLLECTION,1.00,8.00,37.92
640481537,10312335,ROOKIE OF THE YEAR RPKG,1.00,8.00,45.52
640481537,9648854,4 PACK ACTION SWAT/ BASIC/MAXIMUM RISK/STEALTH,1.00,8.00,53.12
640481537,5985125,I AM LEGEND W/S DVD,1.00,8.00,37.92
640481756,9851742,PAUL BLART MALL COP 2,1.00,-8.00,-93.52
640481968,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640481968,10697005,JACK REACHER NEVER GO BACK,1.00,-8.00,-159.92
640482262,10574330,DEATH PARADE COMPLETE SERIES,1.00,8.00,343.92
640482262,10468004,BLOOD BLOCKADE BATTLEFRONT COMPLETE,1.00,8.00,335.92
640482262,10122147,MARTIAN THE DVD,1.00,8.00,143.92
640482520,10697084,PINOCCHIO,1.00,8.00,143.92
640482520,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,119.92
640482520,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,119.92
640482520,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.92
640482520,10666500,BIRTH OF A NATION DVD DIGITAL,1.00,8.00,119.92
640482541,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,187.12
640482541,10666533,MASTERMINDS BD DVD,1.00,8.00,179.92
640482541,9472724,TUDORS COMPLETE SERIES,1.00,8.00,287.92
640482559,10666580,MR ROBOT 2ND SEASON,1.00,8.00,295.92
640482570,10666585,ATTACK ON TITAN 1ST SEASON COMPLETE,1.00,8.00,311.92
640482570,9414831,ATTACK ON TITAN PART 2,1.00,8.00,263.92
640482570,8683401,PHANTOM REQUIEM FOR THE PHANTOM COMPLETE,1.00,8.00,127.92
640482674,10666572,TRIAGE X COMPLETE COLLECTION,1.00,8.00,263.92
640482689,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,107.92
640482689,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,77.92
640482699,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,199.92
640482699,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640482699,10637774,INFERNO BD UV 1/24/17,1.00,8.00,199.92
640482714,10628593,PINOCCHIO,1.00,8.00,174.72
640483087,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,77.76
640483087,9648506,SOUND OF MUSIC 50TH ANNIV  BD DHD,1.00,8.00,59.92
640667663,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,136.72
640667663,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,98.72
640667721,9207466,LEGO MOVIE THE BD/DVD,1.00,8.00,119.68
640667901,10512439,POKEMON THE MOVIES 13 STEELBOOK BLURAY COLLECTION,1.00,8.00,263.92
640668173,10666497,DEEPWATER HORIZON,1.00,8.00,151.92
640668198,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,383.92
640668253,10122233,PARANORMAL ACTIVITY GHOST DIMENSION,1.00,8.00,79.92
640668257,9939242,MAD MAX 2 THE ROAD WARRIOR 1981,1.00,8.00,47.92
640668257,9188207,TRANCERS 5,1.00,8.00,31.92
640668352,8088237,WWII: NAZI GERMANY RISE AND FALL,1.00,8.00,68.32
640668356,10666530,RIZZOLI AND ISLES 7TH SEASON,1.00,8.00,199.92
640668356,10468000,LAW ORDER S V U  17TH YEAR,1.00,8.00,279.92
640668411,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640668411,10637774,INFERNO BD UV 1/24/17,1.00,8.00,199.92
640668472,10312516,ZOOTOPIA BD DVD DGTL,1.00,8.00,205.12
640668472,9472771,PLANES FIRE AND RESCUE,1.00,8.00,151.92
640668472,8928962,PLANES BD/DVD/UV,1.00,8.00,151.92
640668733,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.92
640668864,10594553,ACCOUNTANT THE 1/10/17,1.00,8.00,151.92
640669249,10512374,FINAL FANTASY XV KINGSGLAIVE,1.00,8.00,159.92
640669398,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,151.84
640669398,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,151.92
640669398,10628593,PINOCCHIO,1.00,8.00,174.72
640669484,9472770,PLANES FIRE AND RESCUE,1.00,8.00,127.92
640669530,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640669590,10594553,ACCOUNTANT THE 1/10/17,1.00,8.00,159.92
640669597,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,199.92
640669597,10697010,TYLER PERRY MADEA ON THE RUN,1.00,8.00,143.92
640669645,8073017,SONY DVPSR210PB PROG SCAN DVD PLAYER,1.00,8.00,279.92
640669811,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640670003,9438299,SOUTH PARK 17TH SEASON,1.00,8.00,79.92
640670003,8880848,DCU BATMAN DARK KNIGHT RETURNS,1.00,8.00,127.92
640670199,10594556,LEGEND OF LEGENDARY HEROES COMPLETE,1.00,8.00,183.92
640670199,10512479,CODE GEASS LELOUCH OF THE REBELLION 2ND SEASON,1.00,8.00,335.92
640670199,10512478,CODE GEASS LELOUCH OF THE REBELLION 1ST SEASON,1.00,8.00,335.92
640670199,8981208,CHRONO CRUSADE COMPLETE,1.00,8.00,159.92
640670215,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,326.32
640670554,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,119.92
640670554,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,119.92
640670554,10585411,QUEEN OF KATWE DVD,1.00,8.00,143.92
640670601,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,199.92
640670601,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640670605,9274125,DEADMAN WONDERLAND COMPLETE SERIES,1.00,8.00,183.92
640670605,8560724,TRIGUN: COMPLETE SERIES CLASSIC,1.00,8.00,207.92
640670611,9033650,POCOYO & FRIENDS W/PUZZLE,1.00,8.00,39.92
640670611,8683517,POCOYO POCOYOS WORLD,1.00,8.00,47.92
640671121,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,197.52
640671121,10637774,INFERNO BD UV 1/24/17,1.00,8.00,189.92
640851961,8892143,MONSTERS UNIVERSITY,1.00,8.00,151.92
640851988,10468019,JORMUNGAND JORMUNGAND PERFECT ORDER,1.00,8.00,359.92
640851995,10628593,PINOCCHIO,1.00,8.00,223.92
640852157,10574236,WILD LIFE THE,1.00,8.00,151.92
