format,fy,date,txns
FLEET,2016,4/13/2016,9686
FLEET,2016,4/14/2016,11032
FLEET,2016,4/15/2016,9985
FLEET,2016,4/16/2016,5142
FLEET,2016,4/17/2016,4853
FLEET,2016,4/18/2016,11211
FLEET,2016,4/19/2016,10495
FLEET,2016,4/20/2016,10178
FLEET,2016,4/21/2016,9987
FLEET,2016,4/22/2016,9085
FLEET,2016,4/23/2016,4570
FLEET,2016,4/24/2016,4448
FLEET,2016,4/25/2016,11441
FLEET,2016,4/26/2016,11486
FLEET,2016,4/27/2016,11125
FLEET,2016,4/28/2016,11420
FLEET,2016,4/29/2016,9855
FLEET,2016,4/30/2016,4957
FLEET,2016,5/1/2016,5013
FLEET,2016,5/2/2016,11609
FLEET,2016,5/3/2016,11248
FLEET,2016,5/4/2016,10575
FLEET,2016,5/5/2016,10261
FLEET,2016,5/6/2016,8283
FLEET,2016,5/7/2016,4476
FLEET,2016,5/8/2016,4951
FLEET,2016,5/9/2016,10194
FLEET,2016,5/10/2016,9766
FLEET,2016,5/11/2016,9844
FLEET,2016,5/12/2016,10337
FLEET,2016,5/13/2016,9756
FLEET,2016,5/14/2016,5344
FLEET,2016,5/15/2016,5186
FLEET,2016,5/16/2016,11340
FLEET,2016,5/17/2016,10693
FLEET,2016,5/18/2016,10367
FLEET,2016,5/19/2016,10457
FLEET,2016,5/20/2016,9474
FLEET,2016,5/21/2016,4601
FLEET,2016,5/22/2016,4555
FLEET,2016,5/23/2016,9828
FLEET,2016,5/24/2016,9852
FLEET,2016,5/25/2016,10096
FLEET,2016,5/26/2016,10409
FLEET,2016,5/27/2016,8459
FLEET,2016,5/28/2016,5000
FLEET,2016,5/29/2016,4263
FLEET,2016,5/30/2016,4210
FLEET,2016,5/31/2016,12004
FLEET,2016,6/1/2016,11292
FLEET,2016,6/2/2016,12140
FLEET,2016,6/3/2016,11135
FLEET,2016,6/4/2016,4828
FLEET,2016,6/5/2016,4662
FLEET,2016,6/6/2016,10672
FLEET,2016,6/7/2016,9907
FLEET,2016,6/8/2016,10441
FLEET,2016,6/9/2016,9998
FLEET,2016,6/10/2016,8766
FLEET,2016,6/11/2016,4765
FLEET,2016,6/12/2016,4374
FLEET,2016,6/13/2016,10362
