Day,Date,Sales $,Plan $,Sales $ LY,MD $,MD $ LY,MD %,MD % LY,Ad Drop,Scratcher,Pay,Clrn,Coupon,Neg,Scratcher LY,Pay LY,Clrn LY,Coupon LY,Neg LY,Hit LY
Sat,1/16/2016,6419.91,6947.73,5420.37,1096.41,616.38, 0.17 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,1/17/2016,3980.86,3733.50,3676.09,441.78,412.74, 0.11 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,1/18/2016,3457.95,3469.90,3399.43,401.36,425.28, 0.12 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,1/19/2016,3901.62,3933.04,3859.95,365.89,428.57, 0.09 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,1/20/2016,3836.39,4068.73,3967.70,370.17,413.89, 0.10 , 0.10 ,1,0,0,0,1,0,0,0,0,1,1,0
Thu,1/21/2016,3924.44,4320.37,4193.92,322.39,413.46, 0.08 , 0.10 ,0,0,0,0,0,0,0,1,0,0,0,0
Fri,1/22/2016,4269.38,4809.73,4687.33,305.88,477.56, 0.07 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,1/23/2016,3907.15,4787.81,4687.76,256.27,497.22, 0.07 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,1/24/2016,2958.26,3707.98,3682.11,200.62,377.34, 0.07 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,1/25/2016,2765.66,3213.20,3157.78,165.30,267.51, 0.06 , 0.08 ,0,0,0,0,0,0,0,0,0,0,1,0
Tue,1/26/2016,3104.71,3311.32,3272.89,349.83,301.27, 0.11 , 0.09 ,0,0,0,0,0,0,0,0,0,0,1,0
Wed,1/27/2016,6585.16,4803.16,3520.94,2285.55,329.37, 0.35 , 0.09 ,1,1,0,1,0,0,0,0,0,1,0,1
Thu,1/28/2016,5197.05,6606.24,6596.28,1208.94,836.08, 0.23 , 0.13 ,0,0,0,0,0,0,1,0,0,0,0,0
Fri,1/29/2016,6641.32,7333.20,7152.08,1314.46,840.17, 0.20 , 0.12 ,0,0,0,0,0,0,0,1,0,0,0,0
Sat,1/30/2016,7463.23,7902.81,8057.99,1493.16,1061.63, 0.20 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,0
